exit_bar,entry_bar,side,entry_price,exit_price,reward_pips
417,413,SHORT,3339.959,3358.258,-182.98999999999978
419,417,LONG,3358.258,3347.509,-107.48999999999796
422,419,SHORT,3347.509,3328.045,194.63999999999942
423,422,LONG,3328.045,3328.749,7.039999999997235
424,423,SHORT,3328.749,3330.871,-21.220000000002983
425,424,LONG,3330.871,3338.35,74.78999999999814
428,425,SHORT,3338.35,3332.393,59.5699999999988
429,428,LONG,3332.393,3335.07,26.770000000001346
430,429,SHORT,3335.07,3328.853,62.17000000000098
433,430,LONG,3328.853,3301.982,-268.71000000000095
434,433,SHORT,3301.982,3320.849,-188.6700000000019
437,434,LONG,3320.849,3331.469,106.19999999999891
438,437,SHORT,3331.469,3333.915,-24.459999999999127
443,438,LONG,3333.915,3293.276,-406.39000000000124
445,443,SHORT,3293.276,3284.936,83.39999999999691
449,445,LONG,3284.936,3315.747,308.10999999999694
453,449,SHORT,3315.747,3324.826,-90.79000000000178
455,453,LONG,3324.826,3333.765,89.38999999999851
457,455,SHORT,3333.765,3347.507,-137.4200000000019
461,457,LONG,3347.507,3367.772,202.64999999999873
464,461,SHORT,3367.772,3364.169,36.030000000000655
468,464,LONG,3364.169,3357.841,-63.279999999999745
469,468,SHORT,3357.841,3364.347,-65.06000000000313
470,469,LONG,3364.347,3354.932,-94.15000000000418
471,470,SHORT,3354.932,3328.996,259.35999999999694
472,471,LONG,3328.996,3330.455,14.589999999998327
473,472,SHORT,3330.455,3331.056,-6.010000000001128
474,473,LONG,3331.056,3334.338,32.82000000000153
478,474,SHORT,3334.338,3347.08,-127.41999999999734
480,478,LONG,3347.08,3341.486,-55.94000000000051
481,480,SHORT,3341.486,3325.886,155.9999999999991
482,481,LONG,3325.886,3324.254,-16.32000000000062
484,482,SHORT,3324.254,3339.763,-155.09000000000015
486,484,LONG,3339.763,3334.528,-52.35000000000127
488,486,SHORT,3334.528,3354.435,-199.07000000000153
489,488,LONG,3354.435,3353.654,-7.809999999999491
490,489,SHORT,3353.654,3348.325,53.29000000000178
492,490,LONG,3348.325,3349.122,7.970000000000255
494,492,SHORT,3349.122,3364.763,-156.41000000000076
499,494,LONG,3364.763,3396.532,317.6900000000023
