Total Reward,Mean Reward,Trade Count,Win Rate (%),Sharpe,Max Drawdown,Status,Timeframe,DataCSV_Hash,Model_Hash,Features_Hash
0.0,0.0,0.0,0.0,0.0,0.0,BLOCKED_TOO_FEW_TRADES,M5,1c704be8c3a5c61ad4a6a3186960d83695f68d754b721960f12c332723909d88,7cac1f44a1632f7b7814fb92e6204a185048d0d22e0557ddeaf5fb23471f1373,448c5514a645004da909f81b17071d166eca4bde29889b1fcebf0dab879bbb61
40466.558000000005,5058.319750000001,8.0,75.0,0.7329059037175475,-5001.434999999903,BLOCKED_TOO_FEW_TRADES,M15,60f83ecc8d0eb038556016e11f6a4d3e2c10e0d0ba59a094f7f64d326d99528c,77a00fcb25c1a9acce33fc918717d61df0953255571815fd209b2c604389c4d6,448c5514a645004da909f81b17071d166eca4bde29889b1fcebf0dab879bbb61
,,,,,,TOO_FEW_TRADES,H1,fdf48e8aaaff0ef2f9378e9ebf05873efbcb64af1a7a077929550052ff224ceb,4805c825e9eea6a93a95f736e78bac0dda4dd739f98aac1496eaa7368642720b,b4f841bdbeb15ef6bb8a5f36b8f30020cb9da79eeddfe76d8f355ea07bd1c98d
,,,,,,TOO_FEW_TRADES,H4,2a4816f1abed50583a48f303a10f7f23d59e1ecd9ba92cb443fc1286636eea19,f1a70a98a899dbe09a45c4a109f0c60ca3dc9942ec00baa317bea273ebc69164,b4f841bdbeb15ef6bb8a5f36b8f30020cb9da79eeddfe76d8f355ea07bd1c98d
