duration,count,mean,min,sum
3,7,-349.58285714285694,-1051.1299999999983,-2447.0799999999986
7,2,-339.2049999999995,-358.75,-678.409999999999
5,8,-325.49375000000055,-726.4200000000028,-2603.9500000000044
6,3,-277.02666666666727,-366.5000000000009,-831.0800000000017
4,6,-263.26666666666637,-495.4399999999987,-1579.599999999998
2,46,-247.4839130434785,-829.3100000000004,-11384.260000000011
8,1,-176.15999999999983,-176.15999999999983,-176.15999999999983
9,1,-151.14999999999782,-151.14999999999782,-151.14999999999782
