Total Reward,Mean Reward,Trade Count,Win Rate (%),Sharpe,Max Drawdown,Status,Timeframe,DataCSV_Hash,Model_Hash,Features_Hash
3798.7970000002033,759.7594000000406,5.0,60.0,0.46706436765555226,-965.9140000000198,OK,M5,6e3f5fc79310fba4a1f792b8e90010fc4bdef2f98395246d5e0e26134df975c1,f02ecee9c17bda3a6becf20c01470cf46cf8083a775cd981851d54ecca7d6b04,b4f841bdbeb15ef6bb8a5f36b8f30020cb9da79eeddfe76d8f355ea07bd1c98d
-2212.05000000019,-442.41000000003794,5.0,40.0,-0.31149393162533845,-1474.0689999999915,OK,M15,bd262acdee6ff6c3e4c0ab1bfd4c963f99a147192ca186d3a8ddc55853a8fa61,7b65a2a61db212b236e6e481bd716628dc90b25533ff1aa9f52ecc62e550d1f5,b4f841bdbeb15ef6bb8a5f36b8f30020cb9da79eeddfe76d8f355ea07bd1c98d
,,,,,,EXCEPTION_single positional indexer is out-of-bounds,H1,,,
2696.556000000009,898.852000000003,3.0,66.66666666666666,0.30268008020399,-2491.1999999999825,OK,H4,d19e9ee25fd0f1adbdff737164e0f1bd461692597334fef8313534aae5503cac,87b164859169e392ebd03de116a9a698885938a66fb062041aa6cdbee848a656,b4f841bdbeb15ef6bb8a5f36b8f30020cb9da79eeddfe76d8f355ea07bd1c98d
